location,total_sqft,bath,price,bhk,encoded_loc
Kanakpura Road,1450.0,3,56.0,3,131
Mahadevpura,730.0,1,35.0,1,160
Raja Rajeshwari Nagar,1580.0,3,53.56,3,194
Thanisandra,1111.0,2,50.0,2,219
Varthur,977.0,2,36.0,2,227
Others,674.0,1,19.9,2,184
Sarjapur,2540.0,4,115.0,4,203
Jakkur,1290.0,2,100.0,2,114
Abbigere,795.0,2,32.54,2,12
Kanakpura Road,700.0,1,35.0,2,131
Others,1306.0,2,58.0,3,184
Others,2401.0,3,185.0,3,184
Bommenahalli,1670.0,3,135.0,4,54
Marsur,1200.0,3,90.0,3,167
Dodda Nekkundi,1804.0,3,121.0,3,70
Hoskote,1225.0,3,40.0,3,106
Thanisandra,1652.5,2,58.68,2,219
Bellandur,900.0,2,56.0,2,44
Binny Pete,1350.0,2,91.0,2,49
Kaggalipura,700.0,1,36.0,1,123
Poorna Pragna Layout,1160.0,2,46.39,2,190
Hennur Road,1680.0,3,99.27,3,99
LB Shastri Nagar,1043.0,2,55.0,2,155
Hebbal,1040.0,2,46.0,2,95
Tindlu,1357.0,2,65.0,3,223
Others,1225.0,2,47.0,2,184
Yelachenahalli,1130.0,2,40.0,2,236
Basavangudi,2500.0,4,150.0,4,39
Sultan Palaya,1700.0,3,120.0,3,216
Doddathoguru,1549.0,3,65.0,3,73
Yeshwanthpur,1400.0,2,100.0,2,240
Dodda Nekkundi,1080.0,2,50.0,2,70
Abbigere,1005.0,2,39.59,2,12
Whitefield,1320.0,2,95.0,2,235
Anandapura,1475.0,2,50.0,4,17
Kudlu Gate,2489.0,2,99.745,3,152
Others,1110.0,2,51.0,2,184
Others,1300.0,2,54.0,2,184
Electronic City,1128.0,2,65.35,2,77
Jakkur,1452.19,2,100.0,2,114
Banashankari,2600.0,4,135.0,3,30
Sanjay nagar,630.0,1,35.0,2,201
Hosa Road,1243.0,2,48.5,2,104
Others,960.0,2,32.0,2,184
Others,1690.0,3,100.0,3,184
Whitefield,735.0,2,35.0,2,235
Banaswadi,1365.0,2,73.0,2,35
Hebbal,1420.0,2,99.39,2,95
Somasundara Palya,1570.0,3,68.0,3,212
Bisuvanahalli,850.0,1,32.0,2,50
7th Phase JP Nagar,1575.0,2,110.0,3,8
Thigalarapalya,1418.0,2,104.0,2,220
Uttarahalli,1050.0,2,42.0,2,226
Ulsoor,1340.0,3,90.0,3,225
Yelahanka New Town,1610.0,3,92.0,3,238
Electronic City Phase II,1160.0,2,33.5,2,78
Kudlu,1092.0,2,44.0,2,151
Yelahanka,1455.0,3,61.5,3,237
Others,799.0,2,38.0,2,184
Whitefield,1896.0,3,75.0,3,235
Ardendale,1100.0,2,48.0,2,21
Bellandur,1350.0,2,79.0,2,44
Others,1355.0,3,61.0,3,184
Others,1350.0,2,90.0,2,184
Kasavanhalli,1493.0,3,82.0,3,134
8th Phase JP Nagar,1098.0,2,43.91,2,9
Others,1460.0,3,88.0,3,184
Varthur,1091.0,2,32.0,2,227
Yelahanka,1180.0,2,42.0,2,237
Kanakpura Road,1366.0,3,76.85,2,131
Others,1685.0,3,95.0,3,184
Koramangala,1260.0,2,100.0,2,148
Whitefield,3010.0,3,200.0,3,235
Whitefield,1346.0,2,96.17,2,235
Sarjapur  Road,2199.0,2,98.94,3,204
7th Phase JP Nagar,1850.0,3,140.0,3,8
Electronic City,755.0,1,34.0,2,77
Parappana Agrahara,1194.0,2,46.0,2,188
Others,800.0,1,52.0,1,184
Vijayanagar,1352.0,2,68.0,2,231
Thanisandra,2002.0,3,112.0,3,219
Others,4000.0,5,280.0,4,184
Kaval Byrasandra,1060.0,2,45.0,2,137
Kanakpura Road,1419.59,2,59.0,3,131
Raja Rajeshwari Nagar,1196.0,2,51.15,2,194
Electronic City,1220.0,2,35.24,3,77
Electronics City Phase 1,1595.0,3,75.0,3,79
Banashankari,1260.0,2,75.0,2,30
Hebbal,1100.0,2,47.0,2,95
ISRO Layout,1180.0,2,52.0,2,109
Electronic City,4000.0,5,150.0,4,77
Akshaya Nagar,1662.0,3,85.0,3,13
Ambedkar Nagar,1862.0,3,119.0,3,15
Raja Rajeshwari Nagar,1419.0,2,48.0,2,194
Whitefield,1410.0,3,43.71,3,235
Raja Rajeshwari Nagar,1560.0,2,62.4,3,194
Thanisandra,1634.0,3,78.0,3,219
Whitefield,1150.0,2,44.0,3,235
Others,1100.0,2,53.0,2,184
Yelahanka,1616.0,3,65.0,3,237
Nagavarapalya,1392.0,2,99.0,2,177
Jakkur,1798.0,3,120.0,3,114
Babusapalaya,1675.0,3,75.0,3,27
Others,2000.0,4,103.0,5,184
Hebbal,1700.0,3,124.0,3,95
Hulimavu,1248.0,2,69.0,2,108
Others,1147.0,2,54.0,2,184
Sultan Palaya,1100.0,2,40.0,2,216
Vijayanagar,1527.0,3,115.0,3,231
Kanakpura Road,525.0,1,25.0,1,131
Kaggadasapura,1100.0,2,58.0,2,122
Seegehalli,1118.0,2,37.5,2,208
Kanakapura,1476.0,3,75.0,3,130
Others,2100.0,3,75.0,3,184
Others,1215.0,2,46.5,3,184
Ambalipura,1332.0,2,79.0,2,14
Hennur Road,1350.0,2,49.0,2,99
NGR Layout,1105.0,2,49.73,2,172
Kasavanhalli,1200.0,2,50.0,2,134
Ramagondanahalli,1251.0,2,47.4,2,197
Pai Layout,1400.0,2,67.0,3,186
Hegde Nagar,1703.0,3,113.0,3,97
NRI Layout,2500.0,5,130.0,5,173
Varthur,1250.0,3,71.0,3,227
Jigani,933.0,2,43.0,2,117
Others,461.82,1,31.7,1,184
Brookefield,1262.0,2,75.0,2,55
Yelahanka,915.0,2,48.0,2,237
Panathur,1370.0,2,61.5,3,187
Malleshpalya,1210.0,2,55.0,2,163
Others,1500.0,2,85.0,3,184
Others,1065.0,2,50.0,2,184
Ramamurthy Nagar,1515.0,3,65.0,3,198
Sarjapura - Attibele Road,1800.0,4,110.0,4,205
Uttarahalli,1300.0,2,55.0,3,226
Vijayanagar,989.0,2,60.0,2,231
Jakkur,1300.0,2,85.0,2,114
Marathahalli,1045.0,2,60.0,2,165
Others,1205.0,2,42.18,2,184
Others,1260.0,2,75.0,2,184
Bommanahalli,1250.0,2,42.5,3,51
Others,1199.0,2,50.0,2,184
Lakshminarayana Pura,1149.0,2,75.0,2,157
Sarjapur  Road,2180.0,3,170.0,3,204
Hulimavu,1818.0,3,135.0,3,108
Others,1070.0,2,33.0,2,184
Nagarbhavi,1350.0,2,54.6,3,174
Chandapura,630.0,1,27.0,2,59
Hoodi,1430.0,2,113.0,2,100
Nagavara,2430.0,4,180.0,3,176
Sarjapur  Road,1084.0,2,55.0,2,204
Hennur Road,1186.0,2,56.0,3,99
Kengeri,1255.0,2,50.0,2,139
Haralur Road,3400.0,5,240.0,4,93
Hosa Road,1541.0,3,69.84,3,104
Iblur Village,3596.0,5,282.0,4,111
Raja Rajeshwari Nagar,1295.0,2,70.0,2,194
7th Phase JP Nagar,1370.0,2,54.79,3,8
Electronic City,1100.0,2,40.0,2,77
JP Nagar,1200.0,2,62.0,2,113
Gunjur,2000.0,3,95.0,4,88
Sarjapur  Road,1220.0,3,62.0,3,204
Others,1950.0,3,130.0,3,184
Somasundara Palya,1178.0,2,73.0,2,212
Dasanapura,1286.0,3,61.44,3,67
Begur Road,1160.0,2,42.0,2,43
Jigani,918.0,2,55.0,2,117
Electronic City,1563.0,3,91.84,3,77
Others,1326.0,2,62.17,2,184
Begur Road,1240.0,2,39.06,2,43
Kaggadasapura,1325.0,2,50.0,2,122
Sonnenahalli,1100.0,2,44.0,2,214
Gollarapalya Hosahalli,1605.0,3,50.0,3,84
Somasundara Palya,1260.0,2,60.0,2,212
Hoodi,1553.0,3,83.09,3,100
Whitefield,1280.0,2,52.0,2,235
Hebbal,1550.0,2,75.0,3,95
Murugeshpalya,1550.0,3,74.0,3,170
Electronics City Phase 1,1515.0,2,80.91,3,79
Hosa Road,1332.0,2,86.12,3,104
Electronic City,1652.0,3,70.0,3,77
Hegde Nagar,1570.0,3,105.0,3,97
Sector 2 HSR Layout,794.0,1,60.0,1,206
Seegehalli,1200.0,2,62.0,3,208
Sarjapur  Road,1750.0,3,110.0,3,204
Hebbal,1053.0,2,48.0,2,95
Kadubeesanahalli,1665.0,3,70.0,3,120
Bommasandra,1447.0,3,80.0,3,52
Balagere,1012.0,2,75.0,2,29
Malleshpalya,1900.0,3,60.0,3,163
Narayanapura,1308.0,2,92.66,2,178
Hormavu,1351.0,2,53.0,1,103
Gunjur,1140.0,2,49.11,2,88
Jakkur,4305.905,4,260.5,4,114
Uttarahalli,1250.0,2,55.0,3,226
Kanakapura,1290.0,3,45.15,3,130
Garudachar Palya,1320.0,2,60.6,3,82
Akshaya Nagar,1662.0,3,85.5,3,13
Battarahalli,1777.0,3,100.0,3,41
Kadugodi,1900.0,3,108.0,3,121
Anandapura,1576.0,3,59.1,3,17
Sompura,1020.0,2,41.0,2,213
Others,2100.0,3,170.0,3,184
Raja Rajeshwari Nagar,648.0,1,31.75,1,194
Neeladri Nagar,1167.0,2,38.0,3,179
Hoodi,1220.0,2,50.89,2,100
Vittasandra,1259.0,2,67.4,2,234
Gottigere,2000.0,4,82.0,4,85
8th Phase JP Nagar,1800.0,3,80.0,3,9
Others,1991.0,3,160.0,3,184
Bannerghatta,1665.0,3,110.0,3,37
Others,1234.0,2,61.0,2,184
Mysore Road,1340.0,2,64.31,3,171
Banashankari,1170.0,2,46.79,2,30
Electronics City Phase 1,995.0,2,46.0,2,79
Old Airport Road,1075.0,2,60.0,2,182
Electronic City,1025.0,2,54.5,2,77
Rachenahalli,2721.0,3,113.0,3,193
Thanisandra,2000.0,3,99.0,3,219
Whitefield,2500.0,4,155.0,4,235
Mallasandra,1325.0,2,70.0,2,162
Kadugodi,1314.0,2,68.2,2,121
Kanakpura Road,2265.0,3,136.0,3,131
Yelahanka,1026.0,2,41.0,2,237
Others,1200.0,3,66.0,3,184
Others,2220.0,4,65.0,3,184
KR Puram,1727.5,2,51.22,2,119
Sarjapur  Road,1888.0,4,95.0,3,204
JP Nagar,1300.0,2,90.87,2,113
Rajaji Nagar,1216.0,2,97.16,2,195
Begur,1559.0,3,63.0,3,42
Harlur,1290.0,2,87.0,2,94
Whitefield,905.0,1,55.0,1,235
Sarjapur  Road,1300.0,3,60.0,3,204
Channasandra,1115.0,2,33.45,2,60
Ambedkar Nagar,2150.0,4,125.0,3,15
Marathahalli,1305.0,2,69.0,3,165
Kanakpura Road,1252.0,2,56.32,2,131
Whitefield,1200.0,2,46.13,2,235
Others,1375.0,2,105.0,2,184
Subramanyapura,1313.0,2,66.5,2,215
Attibele,3640.0,4,275.0,4,23
Others,1693.0,3,108.0,3,184
Others,1160.0,2,41.75,2,184
Subramanyapura,1255.0,2,79.0,3,215
Yelahanka New Town,1700.0,3,90.0,3,238
Uttarahalli,1700.0,3,88.0,3,226
Harlur,1749.0,3,115.0,3,94
Dasanapura,1500.0,3,65.0,2,67
Others,1175.0,2,48.0,2,184
Akshaya Nagar,1280.0,2,60.0,2,13
Ramagondanahalli,1610.0,2,115.0,3,197
Electronic City,1070.0,2,46.0,2,77
TC Palaya,1200.0,2,66.0,2,217
9th Phase JP Nagar,1127.0,2,50.0,2,10
Others,600.0,2,23.0,2,184
Others,1364.0,2,70.0,2,184
Whitefield,2268.0,3,146.0,4,235
Others,1150.0,2,77.5,3,184
Others,1146.0,2,39.5,2,184
Magadi Road,1345.0,2,55.0,2,159
Others,1110.0,2,41.0,2,184
Kengeri,750.0,2,36.0,2,139
Others,1156.0,2,49.5,2,184
Pattandur Agrahara,1247.0,2,59.8,2,189
Others,1058.0,2,60.0,2,184
Kaggalipura,950.0,2,48.0,2,123
Vijayanagar,1520.0,2,103.0,3,231
Others,900.0,1,30.0,1,184
Hennur Road,2350.0,3,174.0,3,99
Thanisandra,1050.0,2,46.0,2,219
Laggere,2800.0,5,125.0,5,156
Others,1400.0,2,65.0,2,184
8th Phase JP Nagar,2700.0,4,130.0,4,9
Bommasandra,920.0,2,37.46,2,52
Sarjapur  Road,1200.0,3,70.0,3,204
Haralur Road,1464.0,2,56.0,2,93
Electronics City Phase 1,1555.0,2,82.0,3,79
Whitefield,1150.0,2,55.0,2,235
Kadubeesanahalli,970.0,2,35.0,2,120
Banashankari,2500.0,4,95.0,4,30
Others,1166.0,2,53.0,2,184
Electronic City,1350.0,3,58.0,3,77
Others,900.0,2,46.0,2,184
Others,1190.0,3,55.0,3,184
Kodichikkanahalli,1495.0,2,75.0,3,142
Banashankari Stage III,1350.0,2,68.0,3,32
Green Glen Layout,940.0,2,56.8,2,86
Raja Rajeshwari Nagar,1100.0,2,55.0,2,194
Kaikondrahalli,1300.0,2,61.0,2,124
Hoodi,1105.0,2,46.37,2,100
Sarjapur  Road,2600.0,3,200.0,3,204
Yelahanka,1517.0,3,76.3,3,237
Jalahalli,1615.0,3,89.75,3,115
Others,1500.0,3,65.0,3,184
Mysore Road,1082.0,3,50.5,3,171
Marathahalli,1365.0,2,73.0,2,165
CV Raman Nagar,1392.0,2,98.0,2,57
Kodigehalli,1086.0,2,33.66,2,144
Hennur Road,1586.0,3,93.94,3,99
Hennur,1100.0,2,60.0,2,98
Electronic City Phase II,1065.0,2,30.75,2,78
TC Palaya,1500.0,2,120.0,3,217
7th Phase JP Nagar,1575.0,2,120.0,3,8
Hennur Road,1975.0,3,123.0,3,99
Others,820.0,2,24.0,2,184
Gubbalala,1745.0,3,110.0,3,87
Nagarbhavi,1223.0,2,60.0,2,174
Ananth Nagar,1200.0,2,65.0,3,18
Basaveshwara Nagar,1200.0,2,90.0,2,40
Binny Pete,665.0,1,46.08,1,49
Bharathi Nagar,1351.0,2,70.0,2,46
Sector 7 HSR Layout,3900.0,3,300.0,3,207
Thanisandra,1588.0,3,75.55,3,219
Amruthahalli,900.0,2,60.0,2,16
Harlur,3385.0,4,260.0,4,94
Panathur,1370.0,2,75.0,3,187
Whitefield,1500.0,3,71.8,3,235
Hoodi,1247.0,2,53.0,2,100
Balagere,1020.07,2,68.38,2,29
Others,1033.0,2,32.0,3,184
Others,1460.0,2,73.0,3,184
Garudachar Palya,1150.0,2,52.8,2,82
Sarjapur  Road,5965.0,5,385.0,5,204
Babusapalaya,1141.0,2,46.0,2,27
Doddaballapur,4200.0,4,325.0,4,71
Hosa Road,1665.0,2,125.0,3,104
Kanakapura,1295.0,2,64.0,2,130
Haralur Road,1230.0,2,78.0,2,93
Others,1080.0,2,75.0,3,184
Kaggalipura,1000.0,2,60.0,2,123
Whitefield,937.0,1,32.79,1,235
Rayasandra,1708.0,3,75.0,3,199
Thanisandra,1697.0,3,115.0,3,219
Whitefield,3537.0,5,210.0,4,235
Hosa Road,615.0,1,28.29,1,104
Banashankari,1350.0,2,83.0,3,30
Kanakpura Road,2245.0,2,66.4,3,131
Jalahalli,1083.0,2,32.49,2,115
Gottigere,1460.0,2,65.0,3,85
Babusapalaya,1084.0,2,58.0,2,27
Bommasandra,1035.0,2,41.43,2,52
Others,2400.0,2,150.0,3,184
Hosur Road,460.0,1,21.0,1,107
Whitefield,1285.0,2,55.9,2,235
Sarjapur,1200.0,3,78.0,3,203
Others,1070.0,2,35.0,2,184
Hegde Nagar,1801.0,3,140.0,3,97
Whitefield,1697.0,3,115.0,3,235
AECS Layout,1199.0,2,65.0,2,11
Marathahalli,3800.0,4,205.0,4,165
Others,1125.0,2,75.0,2,184
Anandapura,1200.0,2,67.0,2,17
Subramanyapura,1050.0,2,41.0,2,215
Nagarbhavi,956.0,2,49.0,2,174
Sarjapur,1000.0,2,30.0,2,203
Others,1596.0,3,95.0,3,184
Kanakpura Road,1296.0,2,89.06,2,131
Others,1639.0,3,123.0,3,184
Electronic City Phase II,1219.0,2,61.25,2,78
Uttarahalli,1200.0,3,50.0,3,226
Bannerghatta Road,1218.0,2,73.0,2,38
Others,920.0,2,37.0,2,184
Yeshwanthpur,2559.0,3,141.0,3,240
2nd Phase Judicial Layout,525.0,1,26.0,1,3
Bannerghatta Road,1427.0,2,48.51,3,38
Kothannur,1270.0,3,45.0,3,149
Ramagondanahalli,920.0,2,65.0,2,197
Ramamurthy Nagar,1355.0,2,40.0,3,198
Lingadheeranahalli,1530.0,2,90.0,3,158
Others,1372.0,2,90.0,3,184
Nehru Nagar,2363.0,5,120.0,4,180
Marathahalli,3895.0,4,220.0,4,165
Jakkur,1950.0,3,131.0,3,114
Others,885.0,2,40.0,2,184
Yelahanka,600.0,2,27.0,2,237
Kanakpura Road,1339.0,2,62.0,2,131
Whitefield,1130.0,2,36.0,2,235
Uttarahalli,1085.0,2,43.0,2,226
Yeshwanthpur,1430.0,3,72.0,3,240
Others,1490.0,2,59.6,3,184
Others,1650.0,4,99.0,4,184
Bellandur,1286.0,2,57.0,2,44
Others,925.0,2,63.0,2,184
Bellandur,3016.0,4,230.0,4,44
Haralur Road,1000.0,2,44.0,2,93
Whitefield,1215.0,2,39.0,2,235
Lakshminarayana Pura,1336.0,2,100.0,2,157
Yeshwanthpur,673.0,1,36.85,1,240
Anandapura,1200.0,2,58.0,2,17
Devanahalli,2400.0,5,100.0,5,69
Sector 2 HSR Layout,1143.0,2,65.0,2,206
Kanakpura Road,1470.0,2,61.74,2,131
Marathahalli,1785.0,3,94.0,3,165
Kothanur,1460.0,3,71.0,3,150
Kasturi Nagar,1500.0,2,80.0,3,135
Sanjay nagar,3300.0,3,250.0,5,201
Chikkalasandra,1230.0,2,48.0,2,63
Yelahanka New Town,650.0,1,20.0,1,238
Benson Town,1480.0,2,120.0,2,45
Thanisandra,1220.0,2,43.92,2,219
Others,1570.0,3,115.0,3,184
Mallasandra,1665.0,3,86.91,3,162
Ramamurthy Nagar,1100.0,2,68.0,2,198
Kathriguppe,1350.0,2,87.01,3,136
Kasavanhalli,1719.0,3,116.0,3,134
Budigere,664.0,1,35.0,1,56
Sonnenahalli,1011.0,2,50.53,2,214
Others,2400.0,6,130.0,6,184
Others,1680.0,3,85.0,3,184
Yeshwanthpur,1069.0,2,49.475,2,240
Uttarahalli,1350.0,2,53.0,3,226
Pattandur Agrahara,875.0,2,33.0,2,189
Hennur,1231.0,2,48.0,2,98
Somasundara Palya,1174.0,2,74.0,2,212
Munnekollal,1560.0,3,75.0,3,169
Others,1464.0,2,56.0,2,184
Kanakpura Road,2200.0,3,130.0,3,131
Shivaji Nagar,850.0,2,55.0,2,210
1st Phase JP Nagar,2024.0,3,157.0,3,2
Devanahalli,1080.0,2,44.0,2,69
Electronic City,1020.0,2,29.46,2,77
Begur Road,1500.0,2,55.0,3,43
Kodichikkanahalli,3250.0,4,180.0,4,142
Channasandra,1030.0,2,34.5,2,60
Hebbal,1440.0,2,115.0,2,95
Hoodi,1500.0,2,84.0,2,100
Thanisandra,1380.0,1,62.1,1,219
Others,705.0,1,36.5,1,184
Hegde Nagar,1584.01,3,103.0,3,97
Others,1340.0,3,77.0,3,184
Others,1800.0,3,70.0,3,184
R.T. Nagar,1200.0,2,45.0,2,192
Sarjapur  Road,685.0,1,40.0,1,204
Others,925.0,2,42.0,2,184
Others,1230.0,2,57.0,2,184
Kodichikkanahalli,1125.0,2,52.0,2,142
Hebbal,1100.0,2,54.0,2,95
Jigani,2400.0,3,149.0,3,117
Electronic City Phase II,1400.0,2,41.58,3,78
Jakkur,1858.0,3,98.3,3,114
HSR Layout,1185.0,2,60.0,2,92
Hennur,1255.0,2,58.0,2,98
Kudlu Gate,1335.0,3,89.0,3,152
Dodda Nekkundi,1999.0,3,132.0,3,70
Kundalahalli,1397.0,3,110.0,3,154
Chikka Tirupathi,1616.0,3,95.0,3,61
Raja Rajeshwari Nagar,1140.0,2,38.55,2,194
Varthur,1200.0,2,98.0,3,227
Balagere,1205.47,2,81.0,2,29
Electronic City,1700.0,3,75.0,3,77
Kanakpura Road,1090.0,2,54.54,2,131
Yeshwanthpur,3600.0,5,220.0,4,240
Thanisandra,923.0,1,60.84,1,219
Green Glen Layout,1050.0,2,48.0,2,86
Hennur Road,2405.0,2,93.865,3,99
Narayanapura,1485.0,3,85.0,3,178
Dommasandra,1033.0,2,31.5,3,75
Electronic City,1400.0,2,48.0,3,77
Sarjapur  Road,944.0,2,35.0,2,204
Whitefield,1216.0,2,66.48,2,235
Others,1100.0,2,39.5,2,184
Thanisandra,1743.0,3,93.25,3,219
Yelahanka,1274.0,2,48.42,2,237
Mysore Road,1512.0,2,110.0,3,171
Cox Town,1650.0,3,100.0,3,66
Doddathoguru,1875.0,3,55.0,3,73
Whitefield,1350.0,3,54.0,3,235
Others,1219.0,2,40.0,2,184
Sarjapura - Attibele Road,2400.0,3,85.0,3,205
Hormavu,1141.0,2,44.4,2,103
Anandapura,1151.0,2,43.1,2,17
Sarjapur  Road,915.0,2,38.0,2,204
Bannerghatta Road,1115.0,2,65.12,2,38
Thigalarapalya,2072.0,4,139.0,3,220
Kaggadasapura,1200.0,2,53.0,2,122
Singasandra,1300.0,2,65.0,2,211
Bellandur,1457.0,2,85.0,2,44
Kannamangala,1262.0,2,55.0,2,132
Attibele,420.0,1,17.0,1,23
Kanakapura,1160.0,2,46.39,2,130
Kasavanhalli,1115.0,2,50.0,2,134
JP Nagar,1315.0,2,85.4,3,113
Babusapalaya,1500.0,2,57.0,2,27
HSR Layout,1127.0,2,68.0,2,92
Kundalahalli,1397.0,3,104.0,3,154
Whitefield,1173.0,2,60.0,2,235
Jakkur,1230.0,2,76.0,2,114
Others,3200.0,3,190.0,4,184
Sarjapur  Road,858.0,2,31.57,2,204
Talaghattapura,1868.0,3,121.0,3,218
Uttarahalli,1689.28,3,91.2,3,226
Banashankari,1425.0,3,49.88,3,30
Tindlu,1350.0,2,100.0,2,223
Channasandra,4200.0,6,180.0,6,60
Uttarahalli,1310.0,2,85.0,3,226
Haralur Road,4587.5,2,175.0,4,93
Others,970.0,2,40.0,2,184
Kundalahalli,1397.0,3,108.0,3,154
Sarjapur,1157.0,2,40.0,2,203
Kasavanhalli,1125.0,2,61.2,2,134
Sonnenahalli,1157.0,2,42.0,2,214
Sarjapur  Road,1241.0,2,82.0,2,204
Marathahalli,4000.0,4,220.0,4,165
Rajiv Nagar,2340.0,4,148.0,4,196
Others,596.0,1,42.0,1,184
Brookefield,1139.0,2,80.0,2,55
Thigalarapalya,3122.0,5,225.0,4,220
Yeshwanthpur,1168.0,2,64.08,2,240
Chandapura,877.0,2,42.0,2,59
Electronics City Phase 1,1340.0,2,75.0,2,79
Others,1405.0,2,70.0,3,184
Others,1800.0,3,65.0,3,184
Others,985.0,2,63.0,2,184
Others,1490.0,2,88.0,3,184
Others,620.0,1,25.0,2,184
Hormavu,1130.0,2,42.3,2,103
Yelachenahalli,1080.0,2,55.0,2,236
Singasandra,3126.0,4,120.0,4,211
Begur Road,1410.0,2,52.17,3,43
Bommanahalli,1375.0,3,59.0,3,51
Hennur Road,1290.0,2,94.5,3,99
Hosa Road,1318.0,2,85.28,3,104
Electronic City,1128.0,2,68.0,2,77
Others,4428.0,4,255.0,4,184
Kanakpura Road,1051.0,2,56.74,2,131
Kannamangala,2400.0,4,130.0,4,132
Yelahanka,1327.0,2,85.0,2,237
Others,1301.0,2,55.0,2,184
Others,650.0,1,30.0,1,184
Varthur,1200.0,3,67.75,3,227
Others,1500.0,2,89.99,3,184
Sarjapur  Road,984.0,2,45.91,2,204
Others,910.0,1,42.0,1,184
Others,1250.0,3,39.0,3,184
Hosakerehalli,1304.0,2,100.0,2,105
Begur Road,1615.0,3,58.0,3,43
Sarjapur  Road,1400.0,2,68.0,2,204
CV Raman Nagar,1070.0,2,47.5,2,57
Hoodi,1132.0,2,89.37,2,100
Raja Rajeshwari Nagar,1090.0,2,43.59,2,194
Gottigere,1500.0,3,70.0,3,85
Whitefield,1269.0,2,75.0,2,235
Kanakpura Road,1070.0,2,37.45,2,131
Marathahalli,1208.0,2,70.0,2,165
Ramamurthy Nagar,1185.0,2,45.5,2,198
Anekal,888.0,2,34.0,2,19
Others,532.0,1,22.49,1,184
Others,1060.0,3,62.0,3,184
Electronic City,700.0,1,35.0,1,77
Others,902.0,2,42.0,2,184
Doddathoguru,984.0,2,51.0,2,73
Hebbal,2700.0,2,100.0,4,95
Jalahalli East,1475.0,3,96.0,3,116
Haralur Road,1300.0,2,79.0,2,93
Babusapalaya,1453.0,2,43.59,3,27
Akshaya Nagar,1666.0,3,95.0,3,13
Murugeshpalya,1845.0,3,91.0,3,170
Sarjapura - Attibele Road,1676.0,3,52.0,3,205
Uttarahalli,1137.0,2,63.0,2,226
Electronic City,1360.0,2,70.5,3,77
Others,1374.0,2,70.0,3,184
Whitefield,3227.0,5,250.0,5,235
Others,2145.0,4,125.0,4,184
Kasavanhalli,2170.0,3,151.0,3,134
Others,1080.0,2,55.0,2,184
Electronic City Phase II,1790.0,3,100.0,3,78
Doddathoguru,550.0,1,17.0,1,73
Somasundara Palya,1033.0,2,48.0,2,212
Others,1000.0,2,80.0,2,184
Others,1240.0,2,52.6,2,184
Others,1500.0,2,97.0,3,184
Marathahalli,1730.0,3,139.0,3,165
Kasavanhalli,1915.0,3,80.0,3,134
Whitefield,1545.0,3,79.0,3,235
Others,1865.0,4,140.0,3,184
Hebbal Kempapura,1150.0,2,40.0,2,96
Others,1200.0,2,49.0,2,184
Kengeri,963.0,2,40.0,2,139
Kaikondrahalli,1700.0,4,108.0,4,124
Lingadheeranahalli,1682.0,3,120.0,3,158
Yelahanka,1371.0,2,65.0,3,237
Hennur Road,901.0,2,49.5,2,99
Ambalipura,1730.0,3,120.0,3,14
EPIP Zone,1500.0,3,102.0,3,76
Others,3500.0,4,245.0,4,184
Others,1203.0,2,59.86,2,184
Horamavu Banaswadi,1357.0,2,54.0,2,102
Others,1600.0,3,76.0,3,184
Yelahanka New Town,350.0,1,13.5,1,238
Varthur,1665.0,3,53.0,3,227
Sarjapur  Road,835.0,1,46.95,1,204
Haralur Road,1444.0,2,80.0,3,93
Kanakapura,1277.0,2,55.0,2,130
Lingadheeranahalli,1521.0,3,94.71,3,158
Others,1134.0,2,40.0,2,184
Vasanthapura,995.0,2,34.82,2,229
Marathahalli,1325.0,1,92.0,2,165
Kothanur,4000.0,6,150.0,6,150
Marathahalli,1525.0,3,90.0,3,165
Others,1320.0,2,73.0,3,184
Electronics City Phase 1,650.0,1,23.0,1,79
Electronic City,1150.0,2,38.0,2,77
Electronic City Phase II,769.0,2,40.0,2,78
Electronic City,1571.0,3,105.0,3,77
Hennur Road,1445.0,3,86.56,3,99
Bommasandra,902.0,2,49.0,2,52
Sarjapur,2238.0,3,140.0,3,203
Electronic City,1090.0,2,31.49,2,77
Yelahanka,1712.0,3,82.0,3,237
Haralur Road,1088.0,2,68.0,2,93
Somasundara Palya,1575.0,3,63.1,3,212
Kundalahalli,1920.0,3,150.0,3,154
Margondanahalli,1000.0,2,57.0,2,166
Others,1100.0,2,56.1,2,184
Electronic City,1089.0,2,45.0,2,77
Horamavu Agara,1106.0,2,43.09,2,101
Kengeri,927.0,2,37.0,2,139
Kanakpura Road,1339.0,2,58.0,2,131
Thanisandra,923.0,1,45.69,1,219
Lakshminarayana Pura,1175.0,2,75.0,2,157
Thubarahalli,975.0,2,55.0,2,221
Hebbal,2400.0,4,180.0,3,95
Subramanyapura,1330.0,3,72.0,3,215
Thanisandra,1183.0,2,59.74,2,219
Harlur,1758.0,3,133.0,3,94
Pai Layout,1100.0,2,50.0,2,186
Ramamurthy Nagar,1170.0,2,46.8,2,198
Others,2400.0,5,120.0,5,184
Raja Rajeshwari Nagar,1530.0,3,51.77,3,194
Hebbal,1420.0,2,107.0,2,95
Kanakpura Road,1591.0,3,115.0,3,131
Others,675.0,3,52.0,2,184
Hoodi,1055.0,2,57.63,2,100
Iblur Village,1918.0,3,129.0,3,111
Sarjapur  Road,1280.0,2,76.0,2,204
